path,name,extension,size_bytes,modified_time,top_dir,doc_type,topic_tags,priority_hint,status,next_action
notes\量价行为波动与博彩型因子学习笔记.md,量价行为波动与博彩型因子学习笔记.md,.md,5690,2026-05-23T16:57:16,notes,markdown,factor|risk,P1,new,skim_then_extract
notes\量化研究对象与条件期望因子择时学习笔记.md,量化研究对象与条件期望因子择时学习笔记.md,.md,6255,2026-05-23T11:57:26,notes,markdown,factor|timing,P1,new,skim_then_extract
replication_reports\A股首批因子注册表v0复盘.md,A股首批因子注册表v0复盘.md,.md,2028,2026-05-23T19:14:41,replication_reports,markdown,factor,P1,new,skim_then_extract
replication_reports\BERT情绪因子与期货另类策略复盘.md,BERT情绪因子与期货另类策略复盘.md,.md,4140,2026-05-23T16:40:28,replication_reports,markdown,factor|sentiment|derivatives,P1,new,skim_then_extract
replication_reports\HIRSSM_V2_5组合风控覆盖与自检报告.md,HIRSSM_V2_5组合风控覆盖与自检报告.md,.md,3386,2026-05-24T23:56:57,replication_reports,markdown,portfolio|risk,P1,new,skim_then_extract
replication_reports\HIRSSM_V2模型优化复盘.md,HIRSSM_V2模型优化复盘.md,.md,2823,2026-05-24T19:47:43,replication_reports,markdown,portfolio,P1,new,skim_then_extract
replication_reports\价格形态高频与分析师行为因子复盘.md,价格形态高频与分析师行为因子复盘.md,.md,2138,2026-05-23T17:02:27,replication_reports,markdown,factor,P1,new,skim_then_extract
replication_reports\低成本A股因子计算器与工厂联调复盘.md,低成本A股因子计算器与工厂联调复盘.md,.md,2259,2026-05-23T19:20:11,replication_reports,markdown,factor,P1,new,skim_then_extract
replication_reports\动态风控预期调整与宏观敏感性复盘.md,动态风控预期调整与宏观敏感性复盘.md,.md,2123,2026-05-23T17:21:40,replication_reports,markdown,risk|macro,P1,new,skim_then_extract
replication_reports\华泰GP与AlphaNet因子挖掘复盘.md,华泰GP与AlphaNet因子挖掘复盘.md,.md,4306,2026-05-23T16:35:17,replication_reports,markdown,factor,P1,new,skim_then_extract
replication_reports\华泰单因子扩展类别复盘.md,华泰单因子扩展类别复盘.md,.md,2360,2026-05-23T12:33:12,replication_reports,markdown,factor,P1,new,skim_then_extract
replication_reports\华泰因子合成技术因子历史分位数复盘.md,华泰因子合成技术因子历史分位数复盘.md,.md,2103,2026-05-23T12:39:57,replication_reports,markdown,factor,P1,new,skim_then_extract
